,Film,Year,IMDB,Metascore,IMDB votes
1195,Симпсоны в кино,2007,7.3,80,298910
1196,Поезд на Юму,2007,7.7,76,276448
1197,28 недель спуcтя,2007,7.0,78,247601
1198,1408,2007,6.8,64,246960
1199,Звездная пыль,2007,7.6,66,244208
1200,"Прощай, детка, прощай",2007,7.6,72,239609
1201,Искупление,2007,7.8,85,235061
1202,Пекло,2007,7.2,64,224819
1203,Порок на экспорт,2007,7.6,82,218825
1204,Паранормальное явление,2007,6.3,68,212648
1205,Паранойя,2007,6.8,62,211372
1206,Перелом,2007,7.2,68,175802
1207,Грайндхаус,2007,7.5,77,173390
1208,Поезд на Дарджилинг. Отчаянные путешественники,2007,7.2,67,170380
1209,Зачарованная,2007,7.0,75,169549
1210,Старикам тут не место,2007,8.1,91,796114
1211,Я легенда,2007,7.2,65,652445
1212,Рататуй,2007,8.0,96,602927
1213,Ультиматум Борна,2007,8.0,85,588007
1214,Трансформеры,2007,7.0,61,579400
1215,В диких условиях,2007,8.1,73,540310
1216,SuperПерцы,2007,7.6,76,497782
1217,Нефть,2007,8.2,93,481195
1218,Джуно,2007,7.4,81,474863
1219,Гарри Поттер и орден Феникса,2007,7.5,71,473401
1220,Типа крутые легавые,2007,7.8,81,439681
1221,Зодиак,2007,7.7,78,415073
1222,Крепкий орешек 4.0,2007,7.1,69,377902
1223,Гангстер,2007,7.8,76,375607
1224,Немножко беременна,2007,6.9,85,338578
1225,"Суини Тодд, демон-парикмахер с Флит-стрит",2007,7.3,83,330118
1226,Тринадцать друзей Оушена,2007,6.9,62,305384
1227,Симпсоны в кино,2007,7.3,80,298910
1228,Поезд на Юму,2007,7.7,76,276448
1229,28 недель спуcтя,2007,7.0,78,247601
1230,1408,2007,6.8,64,246960
1231,Звездная пыль,2007,7.6,66,244208
1232,"Прощай, детка, прощай",2007,7.6,72,239609
1233,Искупление,2007,7.8,85,235061
1234,Пекло,2007,7.2,64,224819
1235,Порок на экспорт,2007,7.6,82,218825
1236,Паранормальное явление,2007,6.3,68,212648
1237,Паранойя,2007,6.8,62,211372
1238,Перелом,2007,7.2,68,175802
1239,Грайндхаус,2007,7.5,77,173390
1240,Поезд на Дарджилинг. Отчаянные путешественники,2007,7.2,67,170380
1241,Зачарованная,2007,7.0,75,169549
1242,Темный рыцарь,2008,9.0,84,2167962
1243,ВАЛЛ-И,2008,8.4,95,942204
1244,Железный человек,2008,7.9,79,895890
1245,Миллионер из трущоб,2008,8.0,86,765747
1246,Гран Торино,2008,8.1,72,688397
1247,Загадочная история Бенджамина Баттона,2008,7.8,70,556019
1248,Невероятный Халк,2008,6.7,61,415079
1249,Индиана Джонс и Королевство хрустального черепа,2008,6.1,65,405190
1250,Повелитель бури,2008,7.6,95,403116
1251,Кунг-фу Панда,2008,7.5,73,396067
1252,Залечь на дно в Брюгге,2008,7.9,67,373239
1253,Солдаты неудачи,2008,7.0,71,361814
1254,Монстро,2008,7.0,64,359532
1255,Особо опасен,2008,6.7,64,348078
1256,"Ананасовый экспресс: Сижу, курю",2008,7.0,64,302536
1257,После прочтения сжечь,2008,7.0,63,295312
1258,Рестлер,2008,7.9,81,281573
1259,В пролёте,2008,7.1,67,253025
1260,Хеллбой II: Золотая армия,2008,7.0,78,248339
1261,Вики Кристина Барселона,2008,7.1,70,232781
1262,Подмена,2008,7.7,63,227482
1263,Взрослая неожиданность,2008,6.8,61,214498
1264,Впусти меня,2008,7.9,82,198787
1265,Мадагаскар 2,2008,6.6,61,192453
1266,Хроники Нарнии: Принц Каспиан,2008,6.5,62,185046
1267,Дорога перемен,2008,7.3,69,184668
1268,Темный рыцарь,2008,9.0,84,2167962
1269,ВАЛЛ-И,2008,8.4,95,942204
1270,Железный человек,2008,7.9,79,895890
1271,Миллионер из трущоб,2008,8.0,86,765747
1272,Гран Торино,2008,8.1,72,688397
1273,Загадочная история Бенджамина Баттона,2008,7.8,70,556019
1274,Невероятный Халк,2008,6.7,61,415079
1275,Индиана Джонс и Королевство хрустального черепа,2008,6.1,65,405190
1276,Повелитель бури,2008,7.6,95,403116
1277,Кунг-фу Панда,2008,7.5,73,396067
1278,Залечь на дно в Брюгге,2008,7.9,67,373239
1279,Солдаты неудачи,2008,7.0,71,361814
1280,Монстро,2008,7.0,64,359532
1281,Особо опасен,2008,6.7,64,348078
1282,"Ананасовый экспресс: Сижу, курю",2008,7.0,64,302536
1283,После прочтения сжечь,2008,7.0,63,295312
1284,Рестлер,2008,7.9,81,281573
1285,В пролёте,2008,7.1,67,253025
1286,Хеллбой II: Золотая армия,2008,7.0,78,248339
1287,Вики Кристина Барселона,2008,7.1,70,232781
1288,Подмена,2008,7.7,63,227482
1289,Взрослая неожиданность,2008,6.8,61,214498
1290,Впусти меня,2008,7.9,82,198787
1291,Мадагаскар 2,2008,6.6,61,192453
1292,Хроники Нарнии: Принц Каспиан,2008,6.5,62,185046
1293,Дорога перемен,2008,7.3,69,184668
1294,Темный рыцарь,2008,9.0,84,2167962
1295,ВАЛЛ-И,2008,8.4,95,942204
1296,Железный человек,2008,7.9,79,895890
1297,Миллионер из трущоб,2008,8.0,86,765747
1298,Гран Торино,2008,8.1,72,688397
1299,Загадочная история Бенджамина Баттона,2008,7.8,70,556019
1300,Невероятный Халк,2008,6.7,61,415079
1301,Индиана Джонс и Королевство хрустального черепа,2008,6.1,65,405190
1302,Повелитель бури,2008,7.6,95,403116
1303,Кунг-фу Панда,2008,7.5,73,396067
1304,Залечь на дно в Брюгге,2008,7.9,67,373239
1305,Солдаты неудачи,2008,7.0,71,361814
1306,Монстро,2008,7.0,64,359532
1307,Особо опасен,2008,6.7,64,348078
1308,"Ананасовый экспресс: Сижу, курю",2008,7.0,64,302536
1309,После прочтения сжечь,2008,7.0,63,295312
1310,Рестлер,2008,7.9,81,281573
1311,В пролёте,2008,7.1,67,253025
1312,Хеллбой II: Золотая армия,2008,7.0,78,248339
1313,Вики Кристина Барселона,2008,7.1,70,232781
1314,Подмена,2008,7.7,63,227482
1315,Взрослая неожиданность,2008,6.8,61,214498
1316,Впусти меня,2008,7.9,82,198787
1317,Мадагаскар 2,2008,6.6,61,192453
1318,Хроники Нарнии: Принц Каспиан,2008,6.5,62,185046
1319,Дорога перемен,2008,7.3,69,184668
1320,Темный рыцарь,2008,9.0,84,2167962
1321,ВАЛЛ-И,2008,8.4,95,942204
1322,Железный человек,2008,7.9,79,895890
1323,Миллионер из трущоб,2008,8.0,86,765747
1324,Гран Торино,2008,8.1,72,688397
1325,Загадочная история Бенджамина Баттона,2008,7.8,70,556019
1326,Невероятный Халк,2008,6.7,61,415079
1327,Индиана Джонс и Королевство хрустального черепа,2008,6.1,65,405190
1328,Повелитель бури,2008,7.6,95,403116
1329,Кунг-фу Панда,2008,7.5,73,396067
1330,Залечь на дно в Брюгге,2008,7.9,67,373239
1331,Солдаты неудачи,2008,7.0,71,361814
1332,Монстро,2008,7.0,64,359532
1333,Особо опасен,2008,6.7,64,348078
1334,"Ананасовый экспресс: Сижу, курю",2008,7.0,64,302536
1335,После прочтения сжечь,2008,7.0,63,295312
1336,Рестлер,2008,7.9,81,281573
1337,В пролёте,2008,7.1,67,253025
1338,Хеллбой II: Золотая армия,2008,7.0,78,248339
1339,Вики Кристина Барселона,2008,7.1,70,232781
1340,Подмена,2008,7.7,63,227482
1341,Взрослая неожиданность,2008,6.8,61,214498
1342,Впусти меня,2008,7.9,82,198787
1343,Мадагаскар 2,2008,6.6,61,192453
1344,Хроники Нарнии: Принц Каспиан,2008,6.5,62,185046
1345,Дорога перемен,2008,7.3,69,184668
1346,Темный рыцарь,2008,9.0,84,2167962
1347,ВАЛЛ-И,2008,8.4,95,942204
1348,Железный человек,2008,7.9,79,895890
1349,Миллионер из трущоб,2008,8.0,86,765747
1350,Гран Торино,2008,8.1,72,688397
1351,Загадочная история Бенджамина Баттона,2008,7.8,70,556019
1352,Невероятный Халк,2008,6.7,61,415079
1353,Индиана Джонс и Королевство хрустального черепа,2008,6.1,65,405190
1354,Повелитель бури,2008,7.6,95,403116
1355,Кунг-фу Панда,2008,7.5,73,396067
1356,Залечь на дно в Брюгге,2008,7.9,67,373239
1357,Солдаты неудачи,2008,7.0,71,361814
1358,Монстро,2008,7.0,64,359532
1359,Особо опасен,2008,6.7,64,348078
1360,"Ананасовый экспресс: Сижу, курю",2008,7.0,64,302536
1361,После прочтения сжечь,2008,7.0,63,295312
1362,Рестлер,2008,7.9,81,281573
1363,В пролёте,2008,7.1,67,253025
1364,Хеллбой II: Золотая армия,2008,7.0,78,248339
1365,Вики Кристина Барселона,2008,7.1,70,232781
1366,Подмена,2008,7.7,63,227482
1367,Взрослая неожиданность,2008,6.8,61,214498
1368,Впусти меня,2008,7.9,82,198787
1369,Мадагаскар 2,2008,6.6,61,192453
1370,Хроники Нарнии: Принц Каспиан,2008,6.5,62,185046
1371,Дорога перемен,2008,7.3,69,184668
1372,Темный рыцарь,2008,9.0,84,2167962
1373,ВАЛЛ-И,2008,8.4,95,942204
1374,Железный человек,2008,7.9,79,895890
1375,Миллионер из трущоб,2008,8.0,86,765747
1376,Гран Торино,2008,8.1,72,688397
1377,Загадочная история Бенджамина Баттона,2008,7.8,70,556019
1378,Невероятный Халк,2008,6.7,61,415079
1379,Индиана Джонс и Королевство хрустального черепа,2008,6.1,65,405190
1380,Повелитель бури,2008,7.6,95,403116
1381,Кунг-фу Панда,2008,7.5,73,396067
1382,Залечь на дно в Брюгге,2008,7.9,67,373239
1383,Солдаты неудачи,2008,7.0,71,361814
1384,Монстро,2008,7.0,64,359532
1385,Особо опасен,2008,6.7,64,348078
1386,"Ананасовый экспресс: Сижу, курю",2008,7.0,64,302536
1387,После прочтения сжечь,2008,7.0,63,295312
1388,Рестлер,2008,7.9,81,281573
1389,В пролёте,2008,7.1,67,253025
1390,Хеллбой II: Золотая армия,2008,7.0,78,248339
1391,Вики Кристина Барселона,2008,7.1,70,232781
1392,Подмена,2008,7.7,63,227482
1393,Взрослая неожиданность,2008,6.8,61,214498
1394,Впусти меня,2008,7.9,82,198787
1395,Мадагаскар 2,2008,6.6,61,192453
1396,Хроники Нарнии: Принц Каспиан,2008,6.5,62,185046
1397,Дорога перемен,2008,7.3,69,184668
1398,Бесславные ублюдки,2009,8.3,69,1178191
1399,Аватар,2009,7.8,83,1075937
1400,Вверх,2009,8.2,88,880007
1401,Мальчишник в Вегасе,2009,7.7,73,687663
1402,Район No 9,2009,7.9,81,617528
1403,Звездный путь,2009,7.9,82,564270
1404,Добро пожаловать в Зомбилэнд,2009,7.6,73,492543
1405,500 дней летa,2009,7.7,76,452356
1406,Гарри Поттер и Принц-полукровка,2009,7.6,78,437704
1407,Луна 2112,2009,7.9,67,320300
1408,Три идиота,2009,8.4,67,315172
1409,Мне бы в небо,2009,7.4,83,306988
1410,Джонни Д.,2009,7.0,70,267880
1411,Дорога,2009,7.2,64,213221
1412,Господин Никто,2009,7.8,63,204134
1413,Девушка с татуировкой дракона,2009,7.8,76,201979
1414,"Облачно, возможны осадки в виде фрикаделек",2009,6.9,66,193181
1415,"Люблю тебя, чувак",2009,7.0,70,188642
1416,Коралина в стране кошмаров,2009,7.7,80,184056
1417,Бесподобный мистер Фокс,2009,7.8,83,183582
1418,Затащи меня в Ад,2009,6.5,83,181118
1419,Тайна в его глазах,2009,8.2,80,179389
1420,Бесславные ублюдки,2009,8.3,69,1178191
1421,Аватар,2009,7.8,83,1075937
1422,Вверх,2009,8.2,88,880007
1423,Мальчишник в Вегасе,2009,7.7,73,687663
1424,Район No 9,2009,7.9,81,617528
1425,Звездный путь,2009,7.9,82,564270
1426,Добро пожаловать в Зомбилэнд,2009,7.6,73,492543
1427,500 дней летa,2009,7.7,76,452356
1428,Гарри Поттер и Принц-полукровка,2009,7.6,78,437704
1429,Луна 2112,2009,7.9,67,320300
1430,Три идиота,2009,8.4,67,315172
1431,Мне бы в небо,2009,7.4,83,306988
1432,Джонни Д.,2009,7.0,70,267880
1433,Дорога,2009,7.2,64,213221
1434,Господин Никто,2009,7.8,63,204134
1435,Девушка с татуировкой дракона,2009,7.8,76,201979
1436,"Облачно, возможны осадки в виде фрикаделек",2009,6.9,66,193181
1437,"Люблю тебя, чувак",2009,7.0,70,188642
1438,Коралина в стране кошмаров,2009,7.7,80,184056
1439,Бесподобный мистер Фокс,2009,7.8,83,183582
1440,Затащи меня в Ад,2009,6.5,83,181118
1441,Тайна в его глазах,2009,8.2,80,179389
1442,Бесславные ублюдки,2009,8.3,69,1178191
1443,Аватар,2009,7.8,83,1075937
1444,Вверх,2009,8.2,88,880007
1445,Мальчишник в Вегасе,2009,7.7,73,687663
1446,Район No 9,2009,7.9,81,617528
1447,Звездный путь,2009,7.9,82,564270
1448,Добро пожаловать в Зомбилэнд,2009,7.6,73,492543
1449,500 дней летa,2009,7.7,76,452356
1450,Гарри Поттер и Принц-полукровка,2009,7.6,78,437704
1451,Луна 2112,2009,7.9,67,320300
1452,Три идиота,2009,8.4,67,315172
1453,Мне бы в небо,2009,7.4,83,306988
1454,Джонни Д.,2009,7.0,70,267880
1455,Дорога,2009,7.2,64,213221
1456,Господин Никто,2009,7.8,63,204134
1457,Девушка с татуировкой дракона,2009,7.8,76,201979
1458,"Облачно, возможны осадки в виде фрикаделек",2009,6.9,66,193181
1459,"Люблю тебя, чувак",2009,7.0,70,188642
1460,Коралина в стране кошмаров,2009,7.7,80,184056
1461,Бесподобный мистер Фокс,2009,7.8,83,183582
1462,Затащи меня в Ад,2009,6.5,83,181118
1463,Тайна в его глазах,2009,8.2,80,179389
1464,Бесславные ублюдки,2009,8.3,69,1178191
1465,Аватар,2009,7.8,83,1075937
1466,Вверх,2009,8.2,88,880007
1467,Мальчишник в Вегасе,2009,7.7,73,687663
1468,Район No 9,2009,7.9,81,617528
1469,Звездный путь,2009,7.9,82,564270
1470,Добро пожаловать в Зомбилэнд,2009,7.6,73,492543
1471,500 дней летa,2009,7.7,76,452356
1472,Гарри Поттер и Принц-полукровка,2009,7.6,78,437704
1473,Луна 2112,2009,7.9,67,320300
1474,Три идиота,2009,8.4,67,315172
1475,Мне бы в небо,2009,7.4,83,306988
1476,Джонни Д.,2009,7.0,70,267880
1477,Дорога,2009,7.2,64,213221
1478,Господин Никто,2009,7.8,63,204134
1479,Девушка с татуировкой дракона,2009,7.8,76,201979
1480,"Облачно, возможны осадки в виде фрикаделек",2009,6.9,66,193181
1481,"Люблю тебя, чувак",2009,7.0,70,188642
1482,Коралина в стране кошмаров,2009,7.7,80,184056
1483,Бесподобный мистер Фокс,2009,7.8,83,183582
1484,Затащи меня в Ад,2009,6.5,83,181118
1485,Тайна в его глазах,2009,8.2,80,179389
1486,Бесславные ублюдки,2009,8.3,69,1178191
1487,Аватар,2009,7.8,83,1075937
1488,Вверх,2009,8.2,88,880007
1489,Мальчишник в Вегасе,2009,7.7,73,687663
1490,Район No 9,2009,7.9,81,617528
1491,Звездный путь,2009,7.9,82,564270
1492,Добро пожаловать в Зомбилэнд,2009,7.6,73,492543
1493,500 дней летa,2009,7.7,76,452356
1494,Гарри Поттер и Принц-полукровка,2009,7.6,78,437704
1495,Луна 2112,2009,7.9,67,320300
1496,Три идиота,2009,8.4,67,315172
1497,Мне бы в небо,2009,7.4,83,306988
1498,Джонни Д.,2009,7.0,70,267880
1499,Дорога,2009,7.2,64,213221
1500,Господин Никто,2009,7.8,63,204134
1501,Девушка с татуировкой дракона,2009,7.8,76,201979
1502,"Облачно, возможны осадки в виде фрикаделек",2009,6.9,66,193181
1503,"Люблю тебя, чувак",2009,7.0,70,188642
1504,Коралина в стране кошмаров,2009,7.7,80,184056
1505,Бесподобный мистер Фокс,2009,7.8,83,183582
1506,Затащи меня в Ад,2009,6.5,83,181118
1507,Тайна в его глазах,2009,8.2,80,179389
1508,Бесславные ублюдки,2009,8.3,69,1178191
1509,Аватар,2009,7.8,83,1075937
1510,Вверх,2009,8.2,88,880007
1511,Мальчишник в Вегасе,2009,7.7,73,687663
1512,Район No 9,2009,7.9,81,617528
1513,Звездный путь,2009,7.9,82,564270
1514,Добро пожаловать в Зомбилэнд,2009,7.6,73,492543
1515,500 дней летa,2009,7.7,76,452356
1516,Гарри Поттер и Принц-полукровка,2009,7.6,78,437704
1517,Луна 2112,2009,7.9,67,320300
1518,Три идиота,2009,8.4,67,315172
1519,Мне бы в небо,2009,7.4,83,306988
1520,Джонни Д.,2009,7.0,70,267880
1521,Дорога,2009,7.2,64,213221
1522,Господин Никто,2009,7.8,63,204134
1523,Девушка с татуировкой дракона,2009,7.8,76,201979
1524,"Облачно, возможны осадки в виде фрикаделек",2009,6.9,66,193181
1525,"Люблю тебя, чувак",2009,7.0,70,188642
1526,Коралина в стране кошмаров,2009,7.7,80,184056
1527,Бесподобный мистер Фокс,2009,7.8,83,183582
1528,Затащи меня в Ад,2009,6.5,83,181118
1529,Тайна в его глазах,2009,8.2,80,179389
1530,Начало,2010,8.8,74,1916744
1531,Остров проклятых,2010,8.1,63,1049404
1532,История игрушек: Большой побег,2010,8.3,92,715682
1533,Чёрный лебедь,2010,8.0,79,667841
1534,Как приручить дракона,2010,8.1,75,631802
1535,Король говорит!,2010,8.0,88,610879
1536,Социальная сеть,2010,7.7,95,586003
1537,Пипец,2010,7.6,66,508734
1538,Гадкий я,2010,7.6,72,478368
1539,Гарри Поттер и Дары смерти: Часть I,2010,7.7,65,443889
1540,Рапунцель: Запутанная история,2010,7.7,71,381494
1541,Скотт Пилигрим против всех,2010,7.5,69,352317
1542,Отличница лёгкого поведения,2010,7.1,72,340228
1543,127 часов,2010,7.6,82,333021
1544,Город воров,2010,7.5,74,332312
1545,Боец,2010,7.8,79,324454
1546,Железная хватка,2010,7.6,80,293453
1547,Солт,2010,6.4,65,283483
1548,Копы в глубоком запасе,2010,6.6,64,228602
1549,Мегамозг,2010,7.2,63,215239
1550,Неуправляемый,2010,6.8,69,177280
1551,Валентинка,2010,7.4,81,175214
1552,Побег из Вегаса,2010,6.4,65,164082
1553,Убойные каникулы,2010,7.5,65,158179
1554,Начало,2010,8.8,74,1916744
1555,Остров проклятых,2010,8.1,63,1049404
1556,История игрушек: Большой побег,2010,8.3,92,715682
1557,Чёрный лебедь,2010,8.0,79,667841
1558,Как приручить дракона,2010,8.1,75,631802
1559,Король говорит!,2010,8.0,88,610879
1560,Социальная сеть,2010,7.7,95,586003
1561,Пипец,2010,7.6,66,508734
1562,Гадкий я,2010,7.6,72,478368
1563,Гарри Поттер и Дары смерти: Часть I,2010,7.7,65,443889
1564,Рапунцель: Запутанная история,2010,7.7,71,381494
1565,Скотт Пилигрим против всех,2010,7.5,69,352317
1566,Отличница лёгкого поведения,2010,7.1,72,340228
1567,127 часов,2010,7.6,82,333021
1568,Город воров,2010,7.5,74,332312
1569,Боец,2010,7.8,79,324454
1570,Железная хватка,2010,7.6,80,293453
1571,Солт,2010,6.4,65,283483
1572,Копы в глубоком запасе,2010,6.6,64,228602
1573,Мегамозг,2010,7.2,63,215239
1574,Неуправляемый,2010,6.8,69,177280
1575,Валентинка,2010,7.4,81,175214
1576,Побег из Вегаса,2010,6.4,65,164082
1577,Убойные каникулы,2010,7.5,65,158179
1578,Начало,2010,8.8,74,1916744
1579,Остров проклятых,2010,8.1,63,1049404
1580,История игрушек: Большой побег,2010,8.3,92,715682
1581,Чёрный лебедь,2010,8.0,79,667841
1582,Как приручить дракона,2010,8.1,75,631802
1583,Король говорит!,2010,8.0,88,610879
1584,Социальная сеть,2010,7.7,95,586003
1585,Пипец,2010,7.6,66,508734
1586,Гадкий я,2010,7.6,72,478368
1587,Гарри Поттер и Дары смерти: Часть I,2010,7.7,65,443889
1588,Рапунцель: Запутанная история,2010,7.7,71,381494
1589,Скотт Пилигрим против всех,2010,7.5,69,352317
1590,Отличница лёгкого поведения,2010,7.1,72,340228
1591,127 часов,2010,7.6,82,333021
1592,Город воров,2010,7.5,74,332312
1593,Боец,2010,7.8,79,324454
1594,Железная хватка,2010,7.6,80,293453
1595,Солт,2010,6.4,65,283483
1596,Копы в глубоком запасе,2010,6.6,64,228602
1597,Мегамозг,2010,7.2,63,215239
1598,Неуправляемый,2010,6.8,69,177280
1599,Валентинка,2010,7.4,81,175214
1600,Побег из Вегаса,2010,6.4,65,164082
1601,Убойные каникулы,2010,7.5,65,158179
1602,Начало,2010,8.8,74,1916744
1603,Остров проклятых,2010,8.1,63,1049404
1604,История игрушек: Большой побег,2010,8.3,92,715682
1605,Чёрный лебедь,2010,8.0,79,667841
1606,Как приручить дракона,2010,8.1,75,631802
1607,Король говорит!,2010,8.0,88,610879
1608,Социальная сеть,2010,7.7,95,586003
1609,Пипец,2010,7.6,66,508734
1610,Гадкий я,2010,7.6,72,478368
1611,Гарри Поттер и Дары смерти: Часть I,2010,7.7,65,443889
1612,Рапунцель: Запутанная история,2010,7.7,71,381494
1613,Скотт Пилигрим против всех,2010,7.5,69,352317
1614,Отличница лёгкого поведения,2010,7.1,72,340228
1615,127 часов,2010,7.6,82,333021
1616,Город воров,2010,7.5,74,332312
1617,Боец,2010,7.8,79,324454
1618,Железная хватка,2010,7.6,80,293453
1619,Солт,2010,6.4,65,283483
1620,Копы в глубоком запасе,2010,6.6,64,228602
1621,Мегамозг,2010,7.2,63,215239
1622,Неуправляемый,2010,6.8,69,177280
1623,Валентинка,2010,7.4,81,175214
1624,Побег из Вегаса,2010,6.4,65,164082
1625,Убойные каникулы,2010,7.5,65,158179
1626,Начало,2010,8.8,74,1916744
1627,Остров проклятых,2010,8.1,63,1049404
1628,История игрушек: Большой побег,2010,8.3,92,715682
1629,Чёрный лебедь,2010,8.0,79,667841
1630,Как приручить дракона,2010,8.1,75,631802
1631,Король говорит!,2010,8.0,88,610879
1632,Социальная сеть,2010,7.7,95,586003
1633,Пипец,2010,7.6,66,508734
1634,Гадкий я,2010,7.6,72,478368
1635,Гарри Поттер и Дары смерти: Часть I,2010,7.7,65,443889
1636,Рапунцель: Запутанная история,2010,7.7,71,381494
1637,Скотт Пилигрим против всех,2010,7.5,69,352317
1638,Отличница лёгкого поведения,2010,7.1,72,340228
1639,127 часов,2010,7.6,82,333021
1640,Город воров,2010,7.5,74,332312
1641,Боец,2010,7.8,79,324454
1642,Железная хватка,2010,7.6,80,293453
1643,Солт,2010,6.4,65,283483
1644,Копы в глубоком запасе,2010,6.6,64,228602
1645,Мегамозг,2010,7.2,63,215239
1646,Неуправляемый,2010,6.8,69,177280
1647,Валентинка,2010,7.4,81,175214
1648,Побег из Вегаса,2010,6.4,65,164082
1649,Убойные каникулы,2010,7.5,65,158179
1650,Начало,2010,8.8,74,1916744
1651,Остров проклятых,2010,8.1,63,1049404
1652,История игрушек: Большой побег,2010,8.3,92,715682
1653,Чёрный лебедь,2010,8.0,79,667841
1654,Как приручить дракона,2010,8.1,75,631802
1655,Король говорит!,2010,8.0,88,610879
1656,Социальная сеть,2010,7.7,95,586003
1657,Пипец,2010,7.6,66,508734
1658,Гадкий я,2010,7.6,72,478368
1659,Гарри Поттер и Дары смерти: Часть I,2010,7.7,65,443889
1660,Рапунцель: Запутанная история,2010,7.7,71,381494
1661,Скотт Пилигрим против всех,2010,7.5,69,352317
1662,Отличница лёгкого поведения,2010,7.1,72,340228
1663,127 часов,2010,7.6,82,333021
1664,Город воров,2010,7.5,74,332312
1665,Боец,2010,7.8,79,324454
1666,Железная хватка,2010,7.6,80,293453
1667,Солт,2010,6.4,65,283483
1668,Копы в глубоком запасе,2010,6.6,64,228602
1669,Мегамозг,2010,7.2,63,215239
1670,Неуправляемый,2010,6.8,69,177280
1671,Валентинка,2010,7.4,81,175214
1672,Побег из Вегаса,2010,6.4,65,164082
1673,Убойные каникулы,2010,7.5,65,158179
1674,Гарри Поттер и Дары смерти: Часть II,2011,8.1,87,716715
1675,Первый мститель,2011,6.9,66,698775
1676,Люди Икс: Первый класс,2011,7.7,65,624681
1677,Драйв,2011,7.8,78,540003
1678,Восстание планеты обезьян,2011,7.6,68,481914
1679,Исходный код,2011,7.5,74,464162
1680,Эта дурацкая любовь,2011,7.4,68,448553
1681,Миссия невыполнима: Протокол Фантом,2011,7.4,73,438886
1682,Воин,2011,8.2,71,414600
1683,Прислуга,2011,8.1,62,404363
1684,Девушка с татуировкой дракона,2011,7.8,71,399157
1685,Полночь в Париже,2011,7.7,81,366544
1686,Хижина в лесу,2011,7.0,72,351468
1687,"Человек, который изменил всё",2011,7.6,87,338918
1688,Форсаж 5,2011,7.3,66,338358
1689,Супер 8,2011,7.0,72,325958
1690,Секс по дружбе,2011,6.5,63,325363
1691,Жизнь прекрасна,2011,7.6,72,306148
1692,Хранитель времени,2011,7.5,83,291838
1693,Девичник в Вегасе,2011,6.8,75,256375
1694,Кунг-фу Панда 2,2011,7.2,67,238296
1695,Схватка,2011,6.8,64,233188
1696,Потомки,2011,7.3,84,226525
1697,Ранго,2011,7.2,75,223141
1698,Артист,2011,7.9,89,221579
1699,Мартовские иды,2011,7.1,67,209923
1700,Приключения Тинтина: Тайна Единорога,2011,7.3,68,207592
1701,Гарри Поттер и Дары смерти: Часть II,2011,8.1,87,716715
1702,Первый мститель,2011,6.9,66,698775
1703,Люди Икс: Первый класс,2011,7.7,65,624681
1704,Драйв,2011,7.8,78,540003
1705,Восстание планеты обезьян,2011,7.6,68,481914
1706,Исходный код,2011,7.5,74,464162
1707,Эта дурацкая любовь,2011,7.4,68,448553
1708,Миссия невыполнима: Протокол Фантом,2011,7.4,73,438886
1709,Воин,2011,8.2,71,414600
1710,Прислуга,2011,8.1,62,404363
1711,Девушка с татуировкой дракона,2011,7.8,71,399157
1712,Полночь в Париже,2011,7.7,81,366544
1713,Хижина в лесу,2011,7.0,72,351468
1714,"Человек, который изменил всё",2011,7.6,87,338918
1715,Форсаж 5,2011,7.3,66,338358
1716,Супер 8,2011,7.0,72,325958
1717,Секс по дружбе,2011,6.5,63,325363
1718,Жизнь прекрасна,2011,7.6,72,306148
1719,Хранитель времени,2011,7.5,83,291838
1720,Девичник в Вегасе,2011,6.8,75,256375
1721,Кунг-фу Панда 2,2011,7.2,67,238296
1722,Схватка,2011,6.8,64,233188
1723,Потомки,2011,7.3,84,226525
1724,Ранго,2011,7.2,75,223141
1725,Артист,2011,7.9,89,221579
1726,Мартовские иды,2011,7.1,67,209923
1727,Приключения Тинтина: Тайна Единорога,2011,7.3,68,207592
1728,Гарри Поттер и Дары смерти: Часть II,2011,8.1,87,716715
1729,Первый мститель,2011,6.9,66,698775
1730,Люди Икс: Первый класс,2011,7.7,65,624681
1731,Драйв,2011,7.8,78,540003
1732,Восстание планеты обезьян,2011,7.6,68,481914
1733,Исходный код,2011,7.5,74,464162
1734,Эта дурацкая любовь,2011,7.4,68,448553
1735,Миссия невыполнима: Протокол Фантом,2011,7.4,73,438886
1736,Воин,2011,8.2,71,414600
1737,Прислуга,2011,8.1,62,404363
1738,Девушка с татуировкой дракона,2011,7.8,71,399157
1739,Полночь в Париже,2011,7.7,81,366544
1740,Хижина в лесу,2011,7.0,72,351468
1741,"Человек, который изменил всё",2011,7.6,87,338918
1742,Форсаж 5,2011,7.3,66,338358
1743,Супер 8,2011,7.0,72,325958
1744,Секс по дружбе,2011,6.5,63,325363
1745,Жизнь прекрасна,2011,7.6,72,306148
1746,Хранитель времени,2011,7.5,83,291838
1747,Девичник в Вегасе,2011,6.8,75,256375
1748,Кунг-фу Панда 2,2011,7.2,67,238296
1749,Схватка,2011,6.8,64,233188
1750,Потомки,2011,7.3,84,226525
1751,Ранго,2011,7.2,75,223141
1752,Артист,2011,7.9,89,221579
1753,Мартовские иды,2011,7.1,67,209923
1754,Приключения Тинтина: Тайна Единорога,2011,7.3,68,207592
1755,Гарри Поттер и Дары смерти: Часть II,2011,8.1,87,716715
1756,Первый мститель,2011,6.9,66,698775
